,Cut Distance,Feed,Cutting Area
S1_1,0.0,0.2,0.0
S1_1,5.784,0.2,0.13699999999999998
S1_1,11.568,0.2,0.122
S1_1,17.352,0.2,0.055999999999999994
S1_1,71.339,0.2,0.032
S1_1,119.381,0.2,0.034
S1_1,167.24900000000005,0.2,0.042
S1_1,214.93400000000003,0.2,0.069
S1_1,294.297,0.2,0.125
S1_1,326.164,0.2,0.125
S1_1,358.031,0.2,0.125
S1_1,389.898,0.2,0.125
S1_1,426.80199999999996,0.2,0.025
S1_1,431.839,0.2,0.151
S1_1,436.876,0.2,0.126
S1_1,441.913,0.2,0.049
S1_1,488.879,0.2,0.032
S1_1,530.648,0.2,0.034
S1_1,572.242,0.2,0.042
S1_1,613.653,0.2,0.069
S1_1,658.128,0.2,0.125
S1_1,661.38,0.2,0.125
S1_1,664.632,0.2,0.125
S1_1,667.8839999999999,0.2,0.124
S1_1,674.253,0.2,0.036000000000000004
S1_1,677.37,0.2,0.012
S1_1,680.487,0.2,0.0
S1_1,680.487,0.2,0.0
S1_1,680.487,0.05,0.0
S1_1,702.985,0.05,0.021
S1_1,725.4830000000003,0.05,0.044000000000000004
S1_1,747.9810000000001,0.05,0.177
S1_1,774.16,0.15,0.011000000000000001
S1_1,777.841,0.15,0.006
S1_1,781.5219999999997,0.15,0.0
S1_1,785.203,0.15,0.0
S1_1,833.672,0.2,0.021
S1_1,882.24,0.2,0.021
S1_1,930.88,0.2,0.027999999999999997
S1_1,979.564,0.2,0.044000000000000004
S1_1,1048.382,0.2,0.08800000000000001
S1_1,1068.501,0.2,0.08800000000000001
S1_1,1088.62,0.2,0.08800000000000001
S1_1,1108.739,0.2,0.08800000000000001
S1_1,1128.858,0.2,0.0
S1_1,1128.858,0.2,0.0
S1_1,1135.769,0.2,0.003
S1_1,1142.68,0.2,0.043
S1_1,1191.23,0.2,0.012
S1_1,1232.713,0.2,0.011000000000000001
S1_1,1273.993,0.2,0.011000000000000001
S1_1,1315.036,0.2,0.017
S1_1,1389.4470000000001,0.2,0.0
S1_1,1423.068,0.2,0.0
S1_1,1456.6889999999999,0.2,0.0
S1_1,1490.31,0.2,0.0
S1_1,1523.931,0.2,0.0
S1_1,1531.693,0.2,0.078
S1_1,1539.455,0.2,0.032
S1_1,1547.217,0.2,0.0
S1_1,1570.79,0.2,0.06
S1_1,1594.3629999999994,0.2,0.0
S1_1,1617.9360000000001,0.2,0.0
S1_1,1641.509,0.2,0.0
S1_1,1665.082,0.2,0.0
S1_1,1669.8629999999994,0.2,0.111
S1_1,1674.644,0.2,0.212
S1_1,1679.425,0.2,0.294
S1_1,1802.6729999999998,0.05,0.106
S1_1,1921.04,0.05,0.134
S1_1,2039.2910000000002,0.05,0.157
S1_1,2157.41,0.05,0.13699999999999998
S1_1,2418.263,0.2,0.207
S1_1,2563.701,0.2,0.203
S1_1,2712.629000000001,0.2,0.19899999999999998
S1_1,2865.855,0.2,0.196
S1_1,3026.517000000001,0.2,0.009000000000000001
S1_1,3029.0009999999997,0.2,0.0
S1_1,3029.0009999999997,0.2,0.0
S1_1,3029.0009999999997,0.2,0.0
S1_1,3029.0009999999997,0.15,0.0
S1_1,3029.0009999999997,0.15,0.0
S1_1,3036.667,0.15,0.053
S1_1,3044.333,0.15,0.078
S1_1,3197.711,0.15,0.105
S1_1,3344.223,0.15,0.128
S1_1,3491.313,0.15,0.149
S1_1,3638.7509999999997,0.15,0.13
S1_1,3786.704,0.15,0.095
S1_1,3787.1020000000003,0.15,0.192
S1_1,3787.5,0.15,0.212
S1_1,3787.8979999999997,0.15,0.212
S1_1,3832.6220000000003,0.15,0.002
S1_1,3877.035,0.15,0.001
S1_1,3921.5229999999997,0.15,0.0
S1_1,3966.073,0.15,0.0
S1_1,4010.673,0.2,0.0
S1_1,4017.6009999999997,0.2,0.16399999999999998
S1_1,4024.5290000000014,0.2,0.16399999999999998
S1_1,4031.4570000000003,0.2,0.159
S1_1,4144.545,0.2,0.127
S1_1,4251.206,0.2,0.129
S1_1,4358.2609999999995,0.2,0.128
S1_1,4465.601,0.2,0.13
S1_1,5027.649,0.05,0.039
S1_1,5482.2559999999985,0.05,0.047
S1_1,5936.911,0.05,0.061
S1_1,6391.599,0.05,0.08800000000000001
S1_1,6848.505,0.05,0.107
S1_1,6850.7130000000025,0.05,0.107
S1_1,6852.9209999999985,0.05,0.107
S1_1,6855.129,0.05,0.107
S1_1,6884.766,0.2,0.04
S1_1,6912.272,0.2,0.048
S1_1,6939.834,0.2,0.066
S1_1,6967.43,0.2,0.095
